|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |     111.84 us |     0.1429 us |     0.1266 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |      87.81 us |     0.1502 us |     0.1405 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |     118.85 us |     0.1445 us |     0.1352 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |     100.11 us |     0.0596 us |     0.0497 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    MANHATTAN |      FAST |     310.49 us |     0.2557 us |     0.2135 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    MANHATTAN |      FAST |     120.93 us |     0.1884 us |     0.1762 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    MANHATTAN |      FAST |     113.84 us |     0.2420 us |     0.2146 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    MANHATTAN |      FAST |      86.45 us |     0.2032 us |     0.1901 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    MANHATTAN |      FAST |     119.09 us |     0.0735 us |     0.0614 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    MANHATTAN |      FAST |      99.92 us |     0.0583 us |     0.0487 us |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   5,362.34 us |     8.5403 us |     7.5708 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   4,044.54 us |    29.7123 us |    27.7929 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   4,048.40 us |    29.8025 us |    27.8773 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   3,953.37 us |    16.9884 us |    15.8910 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   6,041.52 us |     1.2706 us |     0.9920 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   5,018.33 us |    29.8186 us |    27.8923 us |
